N,Fitness
1,0.45885022627734523
2,1.081847926377883
3,1.4371512514743088
4,2.1741547702474295
5,2.3222296330654104
6,2.6739546366269455
7,2.9274622366821945
8,2.9274622366821945
9,2.9551383454950164
10,3.030391247803236
11,3.030391247803236
12,3.030391247803236
13,3.030391247803236
14,3.030391247803236
15,3.030391247803236
16,3.0441239027722604
17,3.0441239027722604
18,3.0441239027722604
19,3.0441239027722604
20,3.0441239027722604
21,3.0441239027722604
22,3.0441239027722604
23,3.0441239027722604
24,3.2260159627335194
25,3.299397179128812
26,3.3134106810571544
27,3.404959518277105
28,3.404959518277105
29,3.404959518277105
30,3.665074251341503
31,3.665074251341503
32,3.665074251341503
33,3.665074251341503
34,3.665074251341503
35,3.665074251341503
36,3.665074251341503
37,3.665074251341503
38,3.665074251341503
39,3.665074251341503
40,3.665074251341503
41,3.665074251341503
42,3.665074251341503
43,3.665074251341503
44,3.665074251341503
45,3.665074251341503
46,3.665074251341503
47,3.665074251341503
48,3.665074251341503
49,3.665074251341503
50,3.665074251341503
51,3.665074251341503
