N,Fitness
1,1.2099901327821774
2,1.2099901327821774
3,1.673160549010304
4,1.9603592653456596
5,1.9603592653456596
6,2.1061614737775316
7,2.196546335216365
8,2.196546335216365
9,2.196546335216365
10,2.196546335216365
11,2.201709359489644
12,2.201709359489644
13,2.207379234530761
14,2.207379234530761
15,2.207379234530761
16,2.207379234530761
17,2.207379234530761
18,2.207379234530761
19,2.207379234530761
20,2.207379234530761
21,2.2208409981488284
22,2.2208409981488284
23,2.2208409981488284
24,2.229512374317053
25,2.229512374317053
26,2.229512374317053
27,2.229512374317053
28,2.229512374317053
29,2.229512374317053
30,2.232717281075987
31,2.232717281075987
32,2.2378667091957065
33,2.2378667091957065
34,2.2378667091957065
35,2.2378667091957065
36,2.2378667091957065
37,2.2378667091957065
38,2.2378667091957065
39,2.2378667091957065
40,2.2378667091957065
41,2.2378667091957065
42,2.2378667091957065
43,2.2378667091957065
44,2.2378667091957065
45,2.2392355711377494
46,2.2392355711377494
47,2.239904820636836
48,2.239904820636836
49,2.243271730824135
50,2.4917331894871553
51,2.4917331894871553
