N,Fitness
1,0.21833034069593965
2,0.24186440294782263
3,1.0206309881562667
4,1.031041209430665
5,1.031041209430665
6,1.1776027597176377
7,1.1776027597176377
8,1.1849809969358003
9,1.2453708288599417
10,1.2525670646931313
11,1.2525670646931313
12,1.274453479066588
13,1.274453479066588
14,1.274453479066588
15,1.274453479066588
16,1.274453479066588
17,1.274453479066588
18,1.307476318333573
19,1.307476318333573
20,1.3852347756611758
21,1.3852347756611758
22,1.3852347756611758
23,1.399484359655061
24,1.399484359655061
25,1.399484359655061
26,1.399484359655061
27,1.5593649638136886
28,1.5593649638136886
29,1.5593649638136886
30,1.91958253227635
31,1.91958253227635
32,1.91958253227635
33,1.91958253227635
34,1.91958253227635
35,1.91958253227635
36,1.91958253227635
37,1.91958253227635
38,1.91958253227635
39,1.91958253227635
40,1.91958253227635
41,1.91958253227635
42,1.91958253227635
43,1.91958253227635
44,1.91958253227635
45,1.91958253227635
46,1.91958253227635
47,1.91958253227635
48,1.91958253227635
49,1.91958253227635
50,1.91958253227635
51,1.9653822927380569
