N,Fitness
1,0
2,0
3,0
4,0
5,0
6,0
7,1.2696179984158897
8,1.1640716978624635
9,1.5300121836224168
10,1.7325771663188017
11,1.6169099222768506
12,1.6504424216733218
13,1.6504424216733218
14,1.626274832373919
15,1.699758465325486
16,1.699758465325486
17,1.5410792261099218
18,1.7346203759732515
19,1.7346203759732515
20,1.7450700910679189
21,1.7152749518316435
22,1.7820331353601635
23,1.7671274784866975
24,1.7671274784866975
25,1.7511635658604299
26,1.7375452708895633
27,1.727126363820531
28,1.7615023325248804
29,1.764529843743787
30,1.764529843743787
31,1.7097625057132528
32,1.7159931144181593
33,1.770448965447233
34,1.7730441351144834
35,1.7381700453233873
36,1.7604623544157925
37,1.7521135140200295
38,1.7587776076481385
39,1.7421543642844448
40,1.8942053375797736
41,1.7486717202369484
42,1.7545224842595013
43,1.7545224842595013
44,1.7545224842595013
45,1.7469868786588207
46,1.762010273805729
47,1.7475930432985758
48,1.7516968270209248
49,1.7523755696952514
50,1.7725274632672263
51,1.7707273643601515
52,1.794586894571515
53,1.7563338615348616
54,1.7669147813280401
55,1.7690831570182664
56,1.7623694714349194
57,1.7991028361663488
58,1.7597356747695312
59,1.7667311725643395
60,1.7667311725643395
61,1.7667311725643395
62,1.8156129300498225
63,1.7650516594044625
64,1.7821937903856424
65,1.7704613709192165
66,1.76462270924486
67,1.775614485397927
68,1.7692558631071102
69,1.7699013215221433
70,1.7856537878257261
71,1.7791526486431406
72,1.7841491815143506
73,1.7787070381222374
74,1.779024557277909
75,1.779024557277909
76,1.7811249748740134
77,1.7898200529635908
78,1.7898200529635908
79,1.7898200529635908
80,1.7972103534813562
81,1.7972103534813562
82,1.7850885443886748
83,1.7865941779885544
84,1.7899804435616822
85,1.7887622162235337
86,1.7889698953745372
87,1.7895196651876166
88,1.7981840024924074
89,1.7981840024924074
90,1.7981840024924074
91,1.7981840024924074
92,1.8058033110322873
93,1.8058033110322873
94,1.816535129167861
95,1.8151315159016723
96,1.8151315159016723
97,1.8151315159016723
98,1.8151315159016723
99,1.8151315159016723
100,1.8151315159016723
