N,Fitness
1,-2
2,-1
3,-0.06336491087132418
4,-0.01585724852362369
5,0.9118879191802871
6,0.8366492588456422
7,0.2521062911737676
8,0.027600615618874003
9,0.11053116882495789
10,0.986647721336173
11,0.04880190042331173
12,0.04943252678323906
13,0.04880190042331173
14,0.6366573640786384
15,0.6366573640786384
16,0.6366573640786384
17,0.6986083932807126
18,0.4692654156985231
19,0.4692654156985231
20,1.1477846079985343
21,0.7291228708545188
22,0.5548593697128538
23,0.7729977584940979
24,1.2289016321541861
25,0.2944377234449911
26,1.2063157495016956
27,0.3156588452321595
28,0.3156588452321595
29,0.3763936224859238
30,0.3763936224859238
31,0.41803728293273845
32,0.41803728293273845
33,0.41803728293273845
