N,Fitness
1,-2.0
2,-0.013648144355961567
3,0.5009369332556927
4,1.5651802774476449
5,0.3577609799463201
6,0.8158453450200693
7,1.5011756293786092
8,1.519231264401364
9,1.6455877375250512
10,1.6455877375250512
11,1.6455877375250512
12,1.6455877375250512
13,1.6455877375250512
14,1.6471790838758247
15,1.6471790838758247
16,1.6113781240004723
17,1.6736184459375132
18,1.6736184459375132
19,1.6736184459375132
20,1.7291293596286772
21,1.7291293596286772
22,1.680913622986655
23,1.8115452304475614
24,1.8115452304475614
25,1.8400247750286638
26,1.7135244703600014
27,1.7132601842781534
28,1.759385225594164
29,1.7645441721248132
30,1.820162101878563
31,1.820162101878563
32,1.820162101878563
33,1.820162101878563
34,1.8042800629292317
35,1.7851695165257508
36,1.7743457094525965
37,1.7902872991119596
38,1.8381096435497404
39,1.7720977225369297
40,1.8579841363549503
41,1.7857662215117809
42,1.8140755272714872
43,1.8040328904078324
44,1.7917766237998338
45,1.8034161140686484
46,1.8053980606404914
47,1.7978652968322393
48,1.8031862905245737
49,1.8040814437269337
50,1.8407490949524326
51,1.7950848861111688
52,1.8025833914837153
53,1.8344160585350118
54,1.8344160585350118
55,1.8147281858296445
56,1.8083150695414807
57,1.8149048828388865
58,1.8285814556184652
59,1.809496106926652
60,1.80954984468126
61,1.80954984468126
62,1.80954984468126
63,1.8269121415601959
64,1.8211567915503404
65,1.826315977159989
66,1.8273466487462813
67,1.8115292874948314
68,1.8192975542619612
69,1.847242015620613
70,1.852000995177237
71,1.834576013685805
72,1.8160099761065964
73,1.8287353213412623
74,1.8291945065024897
75,1.822022900221378
76,1.8419034689509906
77,1.8419034689509906
78,1.8362609033997968
79,1.8317287223633627
80,1.8584391673837324
81,1.8840368765452824
82,1.857781941154291
83,1.8764970905072766
84,1.8764970905072766
85,1.8764970905072766
86,1.8300255023133194
87,1.8470882987379011
88,1.8806206909046563
89,1.8922794438163189
90,1.9087597282657238
91,1.9087597282657238
92,1.8858758384836867
93,1.8921816146060733
94,1.8950677873532906
95,1.8950677873532906
96,1.8912468656635661
97,1.8912468656635661
98,1.8912468656635661
99,1.8940032503742381
100,1.8969351308562883
