N,Fitness
1,1.0563842515988928
2,1.2440706696348784
3,1.6563420917711718
4,2.2837829731147092
5,2.2837829731147092
6,2.935217375877761
7,2.935217375877761
8,2.9956852937764107
9,3.1680008687152053
10,3.1680008687152053
11,3.3371330935665644
12,3.3371330935665644
13,3.3371330935665644
14,3.389768556360127
15,3.8858878334365654
16,3.8858878334365654
17,3.8858878334365654
18,4.008594255651908
19,4.008594255651908
20,4.029277835850626
21,4.257202657989639
22,4.819464268726989
23,4.819464268726989
24,5.1065690684560785
25,5.266703798297355
26,5.467209913788312
27,5.467209913788312
28,5.870091552562066
29,5.926382766742382
30,6.297839698299134
31,6.404847128677605
32,6.404847128677605
33,6.404847128677605
34,6.416389002054751
35,6.416389002054751
36,6.416389002054751
37,6.416389002054751
38,6.416389002054751
39,6.416389002054751
40,6.416389002054751
41,6.416389002054751
42,6.416389002054751
43,6.5016723963188365
44,6.5016723963188365
45,6.5016723963188365
46,6.5016723963188365
47,6.5016723963188365
48,6.5016723963188365
49,6.5016723963188365
50,6.5016723963188365
51,6.5016723963188365
52,6.5016723963188365
53,6.5016723963188365
54,6.5016723963188365
55,6.5016723963188365
56,6.5016723963188365
57,6.5016723963188365
58,6.5016723963188365
59,6.5016723963188365
60,6.5016723963188365
61,6.5016723963188365
62,6.5016723963188365
63,6.5016723963188365
64,6.5016723963188365
65,6.5016723963188365
66,6.5016723963188365
67,6.5016723963188365
68,6.5016723963188365
69,6.5016723963188365
70,6.5016723963188365
71,6.5016723963188365
72,6.5016723963188365
73,6.5016723963188365
74,6.5016723963188365
75,6.5016723963188365
76,6.5016723963188365
77,6.5016723963188365
78,6.5016723963188365
79,6.5016723963188365
80,6.5016723963188365
81,6.5016723963188365
82,6.5016723963188365
83,6.5016723963188365
84,6.5016723963188365
85,6.5016723963188365
86,6.5016723963188365
87,6.5016723963188365
88,6.5016723963188365
89,6.5016723963188365
90,6.5016723963188365
91,6.5016723963188365
92,6.5016723963188365
93,6.5016723963188365
94,6.5016723963188365
95,6.5016723963188365
96,6.5016723963188365
97,6.5016723963188365
98,6.5016723963188365
99,6.5016723963188365
100,6.5016723963188365
101,6.5016723963188365
